"k","p","tau2","R2_true","T2_apparent","T2_corrected","optimism","convergence","cv_convergence"
10,2,0.1,0.3,0.330003031037622,0.123900560235995,0.206102470801627,1,1
15,2,0.1,0.3,0.279366017292998,0.0763878463903232,0.202978170902675,1,1
20,2,0.1,0.3,0.300106400850656,0.120086260764568,0.180020140086088,1,1
30,2,0.1,0.3,0.306804955439957,0.118343321112945,0.188461634327012,1,1
50,2,0.1,0.3,0.313874515249626,0.0805205508752088,0.233353964374417,1,1
100,2,0.1,0.3,0.309032397030227,0.115569923380832,0.193462473649395,1,1
10,3,0.1,0.3,0.369945538481233,0.113868428925211,0.256077109556022,1,1
15,3,0.1,0.3,0.356051809402467,0.0670363272679107,0.289015482134556,1,1
20,3,0.1,0.3,0.293919372206321,0.0946383694330238,0.199281002773297,1,1
30,3,0.1,0.3,0.287642517103381,0.109502690892546,0.178139826210835,1,1
50,3,0.1,0.3,0.320011167246901,0.0838320469092993,0.236179120337601,1,1
100,3,0.1,0.3,0.286489428160386,0.0470331901936978,0.239456237966688,1,1
15,5,0.1,0.3,0.341153153779498,0.0182672898986538,0.322885863880844,1,1
20,5,0.1,0.3,0.325301148558849,0.0701310971314343,0.255170051427415,1,1
30,5,0.1,0.3,0.319741641577091,0.0178205453096442,0.301921096267446,1,1
50,5,0.1,0.3,0.313415565973807,0.0780594647749081,0.235356101198899,1,1
100,5,0.1,0.3,0.285832033350722,0.0640716453758601,0.221760387974862,1,1
10,2,0.25,0.3,0.330073802551104,0.0888246837384657,0.241249118812638,1,1
15,2,0.25,0.3,0.268511833926337,0.150351069138797,0.11816076478754,1,1
20,2,0.25,0.3,0.301178483443569,0.154543687147081,0.146634796296488,1,1
30,2,0.25,0.3,0.298868346241508,0.273452547317911,0.0254157989235969,1,1
50,2,0.25,0.3,0.29613735498759,0.203735413156079,0.0924019418315107,1,1
100,2,0.25,0.3,0.287395789663453,0.208585226274159,0.078810563389294,1,1
10,3,0.25,0.3,0.39809770644911,0.115016428876401,0.283081277572709,1,1
15,3,0.25,0.3,0.263891683033034,0.141719484029107,0.122172199003927,1,1
20,3,0.25,0.3,0.2792269381281,0.0492343290562632,0.229992609071837,1,1
30,3,0.25,0.3,0.290710519739819,0.153568855792317,0.137141663947502,1,1
50,3,0.25,0.3,0.275972378412084,0.202411276816044,0.0735611015960397,1,1
100,3,0.25,0.3,0.302409098020904,0.216776318902848,0.0856327791180554,1,1
15,5,0.25,0.3,0.325041947455163,0.0928656133408511,0.232176334114312,1,1
20,5,0.25,0.3,0.251699516505106,0.0881259764498599,0.163573540055246,1,1
30,5,0.25,0.3,0.316158971483028,0.0698517236284886,0.246307247854539,1,1
50,5,0.25,0.3,0.299092582276012,0.146189498820718,0.152903083455294,1,1
100,5,0.25,0.3,0.293577106523963,0.18702970490464,0.106547401619323,1,1
10,2,0.1,0.5,0.494101284175786,0.160750889960232,0.333350394215555,1,1
15,2,0.1,0.5,0.483187279960394,0.201699485216702,0.281487794743692,1,1
20,2,0.1,0.5,0.480656161765443,0.164957791278002,0.315698370487442,1,1
30,2,0.1,0.5,0.479624124509751,0.16549048948471,0.314133635025041,1,1
50,2,0.1,0.5,0.482884963975801,0.30061608101409,0.182268882961712,1,1
100,2,0.1,0.5,0.498524559350541,0.289551649791291,0.20897290955925,1,1
10,3,0.1,0.5,0.49598025281816,0.105675560274461,0.390304692543699,0.99,1
15,3,0.1,0.5,0.50122907988639,0.136671440532445,0.364557639353946,1,1
20,3,0.1,0.5,0.508283914005025,0.220720111704709,0.287563802300316,1,1
30,3,0.1,0.5,0.492213684022419,0.220333410614066,0.271880273408354,1,1
50,3,0.1,0.5,0.507712776875256,0.201120479524221,0.306592297351035,1,1
100,3,0.1,0.5,0.500336285903205,0.249952258148721,0.250384027754484,1,1
15,5,0.1,0.5,0.553642207981919,0.0917658405686884,0.461876367413231,1,1
20,5,0.1,0.5,0.534876108998715,0.098613115277554,0.436262993721161,1,1
30,5,0.1,0.5,0.473427380232331,0.12856927666544,0.344858103566892,1,1
50,5,0.1,0.5,0.534641344395377,0.203217388017311,0.331423956378066,1,1
100,5,0.1,0.5,0.519491623151661,0.243379225645014,0.276112397506647,1,1
10,2,0.25,0.5,0.477045289093864,0.140248415364236,0.336796873729628,1,1
15,2,0.25,0.5,0.484273628387322,0.27609828207883,0.208175346308492,1,1
20,2,0.25,0.5,0.489810677198349,0.258151270063619,0.23165940713473,1,1
30,2,0.25,0.5,0.499850756374537,0.379971002494005,0.119879753880532,1,1
50,2,0.25,0.5,0.495325591378909,0.434452492709782,0.0608730986691268,1,1
100,2,0.25,0.5,0.498098667504204,0.451323455164411,0.0467752123397931,1,1
10,3,0.25,0.5,0.515618791347066,0.19028998050923,0.325328810837836,1,1
15,3,0.25,0.5,0.51006876481291,0.241012330901498,0.269056433911412,1,1
20,3,0.25,0.5,0.482713891561565,0.226145455180409,0.256568436381156,1,1
30,3,0.25,0.5,0.490804848615778,0.321118543221111,0.169686305394667,1,1
50,3,0.25,0.5,0.499084739932458,0.369434247491475,0.129650492440983,1,1
100,3,0.25,0.5,0.509824587649606,0.405216496765312,0.104608090884294,1,1
15,5,0.25,0.5,0.441436135689272,0.182008320950244,0.259427814739027,1,1
20,5,0.25,0.5,0.483959663619094,0.341556292468775,0.142403371150319,1,1
30,5,0.25,0.5,0.488453762629817,0.32025260049005,0.168201162139767,1,1
50,5,0.25,0.5,0.512786453725416,0.341494187341447,0.171292266383969,1,1
100,5,0.25,0.5,0.499805414566343,0.387291884255001,0.112513530311341,1,1
